rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/simpsons_movie,The Simpsons Movie,"The combination of Homer (Dan Castellaneta), his new pet pig, and a leaky silo full of excrement triggers a disaster that threatens not just Springfield but the entire world. An angry mob descends on the Simpson home, splitting the family. With Earth's fate in the balance, Homer sets out on a quest for redemption in order to save the world and earn Marge's (Julie Kavner) forgiveness.","The Simpsons Movie contains the hearty laughs, biting satire, and honest portrayal of an American family that makes the show so popular. And it boasts slicker animation and polished writing that hearkens back to the show's glory days.","Animation, Comedy",David Silverman,"Mike Scully, Matt Groening, Matt Selman, Mike Reiss, James L. Brooks, John Swartzwelder, Jon Vitti, David Mirkin, George Meyer, Ian Maxtone-Graham, Al Jean",88.0,77.0,222.0,1823366.0
m/ghost_bird,Ghost Bird,Birders search for the elusive ivory-billed woodpecker.,,Documentary,Scott Crocker,,91.0,73.0,11.0,94.0
m/dr_bronners_magic_soapbox,Dr. Bronner's Magic Soapbox,"Filmmaker Sara Lamm documents the life of Dr. Emanuel Bronner, eccentric inventor of a multipurpose liquid.",,"Documentary, Special Interest",Sara Lamm,,86.0,62.0,14.0,1467.0
m/spiral_2018,Spiral,The rise of anti-Semitism in present-day France.,,Documentary,Laura Fairrie,,40.0,62.0,10.0,42.0
m/run_lola_run,Run Lola Run,"In this visually and conceptually impressive film, two-bit Berlin criminal Manni (Moritz Bleibtreu) delivers some smuggled loot for his boss, Ronnie (Heino Ferch), but accidentally leaves the 100,000 mark payment in a subway car. Given 20 minutes to come up with the money, he calls his girlfriend, Lola (Franka Potente), who sprints through the streets of the city to try to beg the money out of her bank manager father (Herbert Knaup) and get to Manni before he does something desperate.","More fun than a barrel of Jean-Paul Sartre, pic's energy riffs on an engaging love story and really human performances while offering a series of what-ifs and a blood-stirring soundtrack.","Action & Adventure, Art House & International, Drama, Mystery & Suspense",Tom Tykwer,Tom Tykwer,93.0,90.0,83.0,144157.0
m/hostiles,Hostiles,"In 1892, legendary Army Capt. Joseph Blocker reluctantly agrees to escort a dying Cheyenne war chief and his family back to their tribal land. Embarking on a harrowing and perilous journey from Fort Berringer, N.M., to the grasslands of Montana, they soon encounter a young widow whose family was killed on the plains. The travelers must now band together to survive a punishing landscape that's crawling with hostile Comanches and vicious outliers.","Hostiles benefits from stunning visuals and a solid central performance from Christian Bale, both of which help elevate its uneven story.","Action & Adventure, Drama, Western",Scott Cooper,"Donald Stewart, Scott Cooper",70.0,75.0,220.0,5461.0
m/1079516-peacemaker,The Peacemaker,"Two trains collide in rural Russia, one of them housing nuclear weapons that go missing after the wreck, and the U.S. government is alerted. Nuclear specialist Dr. Julia Kelly (Nicole Kidman) believes that there will soon be a terrorist attack, so Lt. Col. Thomas Devoe (George Clooney) joins Dr. Kelly as they try to track down the warhead-stealing culprits. They learn that Yugoslav terrorist Gavrich (Marcel Iures) has his hands on the weapons, and he's plotting a devastating attack on New York.",,Action & Adventure,Mimi Leder,"Leslie Cockburn, Andrew Cockburn, Michael Schiffer",43.0,39.0,35.0,45616.0
m/o_som_ao_redor_2012,O Som ao Redor (Neighbouring Sounds),"Life in a neighborhood in Recife, Brazil, takes a turn for the better when a security firm moves in and brings a sense of safety to the residents.",,"Art House & International, Drama",Kleber Mendonça Filho,Kleber Mendonça Filho,92.0,76.0,39.0,964.0
m/ginger_and_rosa,Ginger & Rosa,"In 1962 London, the lifelong friendship between two teenagers (Elle Fanning, Alice Englert) dissolves after one seduces the other's father.",Elle Fanning gives a terrific performance in this powerful coming-of-age tale about a pair of teenage girls whose friendship is unnerved by the threat of nuclear war.,Drama,Sally Potter,Sally Potter,78.0,50.0,114.0,6672.0
m/sami_blood,Sami Blood,A teenage girl is taken from her home and family and sent to a state school where indigenous students are converted into acceptable members of Swedish society.,,Drama,Amanda Kernell,Amanda Kernell,96.0,82.0,28.0,250.0
m/2012,2012,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.","Roland Emmerich's 2012 provides plenty of visual thrills, but lacks a strong enough script to support its massive scope and inflated length.","Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Roland Emmerich,"Roland Emmerich, Harald Kloser",39.0,47.0,244.0,508316.0
m/hebrew_hammer,The Hebrew Hammer,,,"Action & Adventure, Comedy",Jonathan Kesselman,Jonathan Kesselman,46.0,64.0,24.0,7519.0
m/max_reload_and_the_nether_blasters,Max Reload and the Nether Blasters,Fantasy collides with reality when a video-game store clerk accidentally unleashes an ancient malevolent force.,,"Action & Adventure, Comedy, Science Fiction & Fantasy","Scott Conditt, Jeremy Tremp",Scott Conditt,82.0,76.0,11.0,33.0
m/1076723-traveller,Traveller,A con man (Bill Paxton) teaches a novice (Mark Wahlberg) the rules for membership in an Irish-American grifters gang.,"Though it may not explore its core issues as deeply as some may like, Traveller is nevertheless a smart and funny portrait of a relatively unfamiliar subculture with some strong performances.","Comedy, Drama, Mystery & Suspense",Jack N. Green,Jim McGlynn,79.0,53.0,28.0,1954.0
m/man_of_the_century,Man of the Century,"If ever a man seems lost in time, it would be Johnny Twennies (Gibson Frazier), a newspaper writer who talks, walks and fights like he stepped out of the Jazz Age. Johnny wears a fedora, swing-dances for wholly non-ironic reasons, and can't seem to wrap his mind around concepts like ""cable television."" But when a pack of thugs threaten his life unless he plants a fake news story, Johnny proves he's got plenty of moxie -- and that some ideas, like chivalry and justice, never go out of style.",,"Comedy, Drama",Adam Abraham,"Gibson Frazier, Adam Abraham",71.0,77.0,17.0,900.0
m/struck_by_lightning_2012,Struck by Lightning,"A teen (Chris Colfer), fated to meet an electrifying end, coerces his classmates into writing for a literary magazine he started to ensure admittance to his dream college.",,"Comedy, Drama",Brian Dannelly,Chris Colfer,32.0,52.0,34.0,9679.0
m/godzillas_revenge,Godzilla's Revenge (All Monsters Attack),"A bullied schoolboy dreams of traveling to Monster Island, where Godzilla's son, Minya, is also dealing with the the problems associated with bullying.",,"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",Ishirô Honda,Takeshi Kimura & Shinichi Sekizawa,25.0,17.0,8.0,3000.0
m/story_of_a_love_affair,Story of a Love Affair (Cronaca di un amore),"The uncertainty of passion between two lovers (Lucía Bosé, Massimo Girotti) intensifies as the pace of their plot to commit murder quickens.",,"Art House & International, Classics, Drama, Romance",Michelangelo Antonioni,,93.0,61.0,14.0,913.0
m/fifty_shades_darker,Fifty Shades Darker,"When a wounded Christian Grey (Jamie Dornan) tries to entice a cautious Anastasia Steele (Dakota Johnson) back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian's past start to circle them, determined to destroy their hopes for a future together.","Lacking enough chemistry, heat, or narrative friction to satisfy, the limp Fifty Shades Darker wants to be kinky but only serves as its own form of punishment.","Drama, Romance",James Foley,Niall Leonard,11.0,48.0,203.0,27575.0
m/10008856-badland,Badland,Home from Iraq a soldier cannot cope with daily life.,,Drama,Francesco Lucente,Francesco Lucente,16.0,54.0,19.0,294.0
m/1006207-dr_jekyll_and_mr_hyde,Dr. Jekyll and Mr. Hyde,"Testing his theory that in every man dwells a good and an evil force, the reserved Dr. Jekyll (Fredric March) develops a formula that separates the two, turning him into a violent ruffian named Mr. Hyde. Thinking he has found the answer to one of life's grandest mysteries, Dr. Jekyll soon realizes he is becoming addicted to his darker self as he unleashes his violent side on earthy dance hall girl Ivy (Miriam Hopkins) and fights Hyde to regain control of his body.","A classic. The definitive version of the Robert Louis Stevenson novella from 1931, with innovative special effects, atmospheric cinematography and deranged overacting.","Drama, Horror",Rouben Mamoulian,"Percy Heath, Samuel Hoffenstein",90.0,80.0,40.0,5650.0
m/benji_2018,Benji,A dog comes to the rescue and helps heal a broken family when a boy and his sister stumble into serious danger.,,Kids & Family,Brandon Camp,Brandon Camp,60.0,70.0,10.0,149.0
m/abuse_of_weakness,Abuse of Weakness,"A charismatic con artist becomes close to Maud, a famous director, after she has a stroke. He makes her feel alive again, and she lets him borrow huge sums of money.",Abuse of Weakness' fact-based plot proves that truth can be stranger than fiction -- and provide grist for compelling character studies.,Drama,Catherine Breillat,Catherine Breillat,85.0,54.0,34.0,411.0
m/wide_awake_2006,Wide Awake,"Director Alan Berliner has a problem: He can't sleep. For much of his life, Berliner has been plagued by insomnia. It's left an indelible impact on both his career as a filmmaker and his personal relationships. In this documentary, Berliner examines his condition and his long, futile search for a good night's sleep. He talks with his family and a panoply of doctors and uses a meticulous assemblage of vintage film clips to illustrate his own disjointed mental state come bedtime.",,"Documentary, Mystery & Suspense, Special Interest, Sports & Fitness",Alan Berliner,Alan Berliner,80.0,52.0,5.0,194.0
m/ernest-in-the-army,Ernest in the Army,"A Persian Gulf dictator, Tufuti (Ivan Lucas), invades the country of Karifistan, subsequently plunging the United States into war. America's best soldiers respond to the call of duty. And so does good-natured bumbling yokel Ernest P. Worrell (Jim Varney). However, Ernest is anything but a conventional soldier, and he causes major military havoc. But he finds that he can help when he befriends a lost boy (Christo Davids) from Karifistan during the war.",,Comedy,"John R. Cherry III, John Cherry",,17.0,32.0,6.0,9479.0
m/10009192-21,21,"Ben Campbell (Jim Sturgess), a brilliant student at Massachusetts Institute of Technology, needs some quick cash to pay his tuition bills. He joins a group of students who, under the leadership of unorthodox professor Mickey Rosa (Kevin Spacey), use their math skills to win big in Las Vegas. Seduced by a beautiful teammate (Kate Bosworth) and loads of money, Ben learns that the stakes are higher than he ever imagined when he crosses paths with casino enforcer Cole Williams (Laurence Fishburne).",21 could have been a fascinating study had it not supplanted the true story on which it is based with mundane melodrama.,"Drama, Mystery & Suspense",Robert Luketic,"Peter Steinfeld, Allan Loeb",35.0,66.0,170.0,367852.0
